,participant,task,trial,choice,reward,RT,expected_reward0,expected_reward1,forced_choice,horizon
373,0,49,8,0,61.0,0.000972,52,40,False,10
374,0,49,9,0,59.0,0.670764,52,40,False,10
375,0,50,0,0,7.0,0.50521,10,40,True,5
376,0,50,1,1,35.0,0.218614,10,40,True,5
377,0,50,2,1,52.0,0.377363,10,40,True,5
378,0,50,3,0,13.0,0.294881,10,40,True,5
379,0,50,4,1,32.0,0.384144,10,40,False,5
380,0,51,0,0,58.0,0.343521,60,30,True,5
381,0,51,1,0,68.0,0.374137,60,30,True,5
382,0,51,2,0,63.0,0.292984,60,30,True,5
383,0,51,3,1,21.0,0.391463,60,30,True,5
384,0,51,4,0,60.0,0.166054,60,30,False,5
385,0,52,0,0,43.0,0.340035,40,52,True,10
386,0,52,1,1,47.0,0.32298,40,52,True,10
387,0,52,2,1,41.0,0.408512,40,52,True,10
388,0,52,3,0,31.0,0.284409,40,52,True,10
389,0,52,4,1,64.0,0.358374,40,52,False,10
390,0,52,5,1,51.0,0.381619,40,52,False,10
391,0,52,6,1,54.0,1.732587,40,52,False,10
392,0,52,7,1,52.0,0.053293,40,52,False,10
393,0,52,8,1,56.0,0.000972,40,52,False,10
394,0,52,9,1,44.0,0.403093,40,52,False,10
395,0,53,0,1,53.0,0.402376,60,48,True,5
396,0,53,1,1,44.0,0.270214,60,48,True,5
397,0,53,2,0,58.0,0.269305,60,48,True,5
398,0,53,3,0,62.0,0.301943,60,48,True,5
399,0,53,4,0,63.0,1.03831,60,48,False,5
400,0,54,0,1,25.0,0.331575,36,40,True,10
401,0,54,1,0,39.0,0.292217,36,40,True,10
402,0,54,2,0,47.0,0.367306,36,40,True,10
403,0,54,3,0,25.0,0.302836,36,40,True,10
404,0,54,4,0,30.0,1.327843,36,40,False,10
405,0,54,5,0,31.0,0.609042,36,40,False,10
406,0,54,6,1,39.0,0.268691,36,40,False,10
407,0,54,7,1,32.0,1.599774,36,40,False,10
408,0,54,8,0,36.0,0.156569,36,40,False,10
409,0,54,9,0,35.0,0.100073,36,40,False,10
410,0,55,0,1,70.0,0.307301,60,68,True,5
411,0,55,1,0,50.0,0.373744,60,68,True,5
412,0,55,2,0,59.0,0.317543,60,68,True,5
413,0,55,3,1,78.0,0.454966,60,68,True,5
414,0,55,4,1,59.0,0.754238,60,68,False,5
415,0,56,0,0,60.0,1.202484,52,60,True,10
416,0,56,1,1,77.0,0.328517,52,60,True,10
417,0,56,2,0,49.0,0.312132,52,60,True,10
418,0,56,3,1,58.0,0.563681,52,60,True,10
419,0,56,4,0,46.0,1.018703,52,60,False,10
420,0,56,5,1,51.0,0.152222,52,60,False,10
421,0,56,6,1,46.0,0.911814,52,60,False,10
422,0,56,7,1,58.0,0.096662,52,60,False,10
423,0,56,8,1,68.0,0.001462,52,60,False,10
424,0,56,9,1,51.0,0.285252,52,60,False,10
425,0,57,0,1,69.0,0.289127,60,64,True,10
426,0,57,1,1,66.0,0.289241,60,64,True,10
427,0,57,2,0,53.0,0.35632,60,64,True,10
428,0,57,3,0,50.0,0.259581,60,64,True,10
429,0,57,4,1,56.0,0.208191,60,64,False,10
430,0,57,5,1,70.0,0.28512,60,64,False,10
431,0,57,6,1,70.0,0.199306,60,64,False,10
432,0,57,7,1,57.0,0.131876,60,64,False,10
433,0,57,8,1,51.0,0.0607,60,64,False,10
434,0,57,9,1,57.0,0.00577,60,64,False,10
435,0,58,0,0,45.0,0.320461,60,80,True,5
436,0,58,1,1,66.0,0.284742,60,80,True,5
437,0,58,2,0,74.0,0.25602,60,80,True,5
438,0,58,3,1,89.0,0.324592,60,80,True,5
439,0,58,4,1,80.0,0.756333,60,80,False,5
440,0,59,0,0,38.0,0.341091,48,60,True,10
441,0,59,1,0,46.0,0.307844,48,60,True,10
442,0,59,2,1,60.0,0.341445,48,60,True,10
443,0,59,3,1,66.0,0.316862,48,60,True,10
444,0,59,4,0,44.0,0.918297,48,60,False,10
445,0,59,5,1,53.0,0.567006,48,60,False,10
446,0,59,6,1,53.0,1.06099,48,60,False,10
447,0,59,7,1,55.0,0.175916,48,60,False,10
448,0,59,8,1,68.0,0.359725,48,60,False,10
449,0,59,9,1,70.0,0.173291,48,60,False,10
450,0,60,0,1,35.0,0.292439,60,30,True,10
451,0,60,1,0,65.0,0.309893,60,30,True,10
452,0,60,2,1,44.0,0.263917,60,30,True,10
453,0,60,3,1,30.0,0.314704,60,30,True,10
454,0,60,4,0,56.0,0.876036,60,30,False,10
455,0,60,5,0,61.0,0.238952,60,30,False,10
456,0,60,6,0,51.0,0.195022,60,30,False,10
457,0,60,7,0,56.0,0.151671,60,30,False,10
458,0,60,8,0,52.0,0.158796,60,30,False,10
459,0,60,9,0,75.0,0.0925,60,30,False,10
460,0,61,0,1,17.0,0.389592,60,40,True,5
461,0,61,1,1,44.0,0.269768,60,40,True,5
462,0,61,2,0,58.0,0.255766,60,40,True,5
463,0,61,3,0,59.0,0.288484,60,40,True,5
464,0,61,4,0,75.0,0.199544,60,40,False,5
465,0,62,0,0,50.0,0.347667,60,68,True,10
466,0,62,1,1,74.0,0.218493,60,68,True,10
467,0,62,2,0,68.0,0.308009,60,68,True,10
468,0,62,3,0,61.0,0.291808,60,68,True,10
469,0,62,4,1,68.0,1.21236,60,68,False,10
470,0,62,5,1,70.0,0.825031,60,68,False,10
471,0,62,6,1,72.0,0.101146,60,68,False,10
472,0,62,7,1,64.0,0.08686,60,68,False,10
473,0,62,8,1,79.0,0.049293,60,68,False,10
474,0,62,9,1,80.0,0.001117,60,68,False,10
475,0,63,0,0,40.0,0.360258,44,40,True,10
476,0,63,1,1,47.0,0.254806,44,40,True,10
